agent_id,condition,run_number,session_number,story_points,has_task_breakdown,quant_estimates,section_headers,response_length,explicit_blocking,progress_tracking,team_coordination,dependency_mention,time_planning
Thoth,N,0,1,0,False,0,2,768,False,True,False,False,True
Thoth,N,0,1,0,True,0,0,789,False,False,False,False,False
Thoth,N,0,1,0,False,1,0,742,False,False,False,False,True
Thoth,N,0,1,0,True,0,2,763,False,True,False,False,True
Thoth,N,0,1,1,True,0,0,741,False,False,False,False,False
Thoth,I,0,2,0,False,0,3,761,True,True,False,False,True
Thoth,I,0,2,0,True,0,3,746,False,False,False,False,False
Thoth,I,0,2,0,False,0,0,746,False,False,False,False,False
Thoth,I,0,2,0,False,0,0,767,False,True,False,False,True
Thoth,I,0,2,2,True,0,1,744,False,False,False,False,False
Thoth,B,0,3,0,False,0,3,821,False,True,True,False,True
Thoth,B,0,3,2,False,0,0,783,False,False,False,False,False
Thoth,B,0,3,0,True,0,0,790,False,False,False,False,False
Thoth,B,0,3,0,False,1,3,762,False,True,False,False,True
Thoth,B,0,3,0,True,0,1,781,False,False,False,False,False
Thoth,P,0,4,0,True,0,2,795,False,True,False,False,True
Thoth,P,0,4,2,True,0,1,669,False,False,False,False,False
Thoth,P,0,4,0,True,0,0,854,False,False,False,False,False
Thoth,P,0,4,0,True,0,2,773,False,True,False,False,True
Thoth,P,0,4,0,True,0,1,764,False,False,False,False,False
Thoth,S,0,5,0,False,0,3,809,False,True,False,False,True
Thoth,S,0,5,0,True,0,0,748,False,False,True,False,False
Thoth,S,0,5,0,False,0,2,776,False,False,False,False,True
Thoth,S,0,5,0,False,0,0,813,False,True,False,False,True
Thoth,S,0,5,0,False,0,4,743,False,False,False,False,False
Thoth,I,5,1,0,False,0,2,765,False,False,False,False,True
Thoth,I,5,1,2,False,0,2,679,False,False,True,False,False
Thoth,I,5,1,0,True,0,0,810,False,False,False,False,False
Thoth,I,5,1,0,False,0,2,787,False,False,False,False,True
Thoth,I,5,1,2,False,0,0,658,False,False,False,False,False
Thoth,I,5,1,0,False,0,0,726,False,False,False,False,False
Thoth,I,5,1,0,True,0,2,778,False,True,False,False,True
Thoth,I,5,1,1,True,0,0,738,False,False,False,False,False
Thoth,I,5,1,0,True,0,0,746,False,True,False,False,True
Thoth,I,5,1,0,False,0,2,773,False,True,False,False,True
Thoth,I,0,1,0,True,0,0,778,False,True,True,False,True
Thoth,I,0,1,0,True,0,0,756,False,False,False,False,False
Thoth,I,0,1,0,False,1,0,786,False,False,False,False,True
Thoth,I,0,1,0,False,0,3,828,True,True,True,False,True
Thoth,I,0,1,1,False,0,3,740,False,False,False,False,False
Thoth,I,0,1,0,False,0,0,769,False,True,False,False,True
Thoth,I,0,1,0,False,0,3,779,True,True,False,False,True
Thoth,I,0,1,0,True,0,0,722,False,False,False,False,False
Thoth,I,0,1,0,False,0,0,731,False,False,False,False,True
Thoth,I,0,1,0,False,0,3,729,True,False,False,False,True
Thoth,B,5,1,0,True,0,2,789,False,False,False,False,True
Thoth,B,5,1,2,True,0,0,813,False,False,False,False,False
Thoth,B,5,1,0,False,1,0,782,False,False,False,False,False
Thoth,B,5,1,0,False,0,2,764,False,True,False,False,True
Thoth,B,5,1,0,False,0,5,701,False,False,False,False,False
Thoth,B,5,1,0,False,0,0,607,False,False,False,False,True
Thoth,B,5,1,0,True,1,2,770,False,True,False,False,True
Thoth,B,5,1,0,False,0,5,757,False,False,False,False,False
Thoth,B,5,1,0,True,0,0,693,False,False,False,False,True
Thoth,B,5,1,0,True,0,2,811,False,False,False,False,True
Thoth,S,0,1,0,False,0,2,794,False,True,True,False,True
Thoth,S,0,1,0,True,0,0,735,False,False,True,False,False
Thoth,S,0,1,0,False,0,0,801,False,False,False,False,True
Thoth,S,0,1,0,False,0,2,716,False,True,False,False,True
Thoth,S,0,1,0,False,0,4,757,False,False,False,False,False
Thoth,S,0,1,0,False,0,0,707,False,True,False,False,False
Thoth,S,0,1,0,True,0,2,743,False,False,False,False,True
Thoth,S,0,1,1,False,0,2,695,False,False,True,False,False
Thoth,S,0,1,0,True,0,0,735,False,False,False,False,False
Thoth,S,0,1,0,False,0,3,761,False,True,False,False,True
Thoth,N,0,1,0,False,0,2,776,False,True,False,False,True
Thoth,N,0,1,2,False,1,3,732,False,False,False,False,False
Thoth,N,0,1,0,False,0,0,733,False,False,False,False,True
Thoth,N,0,1,0,True,0,2,751,False,True,True,False,True
Thoth,N,0,1,0,True,0,1,745,False,False,True,False,False
Thoth,N,0,1,0,False,0,0,731,False,False,False,False,False
Thoth,N,0,1,0,False,0,2,813,False,True,False,False,True
Thoth,N,0,1,0,True,0,0,783,False,False,False,False,False
Thoth,N,0,1,0,False,0,2,725,False,False,False,False,False
Thoth,N,0,1,0,False,0,2,750,False,True,False,False,True
Thoth,P,0,1,0,False,0,3,811,False,False,True,False,True
Thoth,P,0,1,0,False,0,4,694,False,False,False,False,False
Thoth,P,0,1,0,False,0,0,731,False,False,False,False,True
Thoth,P,0,1,0,True,0,3,759,False,True,False,False,True
Thoth,P,0,1,2,False,0,1,714,False,False,False,False,False
Thoth,P,0,1,0,True,0,1,766,False,False,False,False,False
Thoth,P,0,1,0,False,0,2,790,False,True,False,False,True
Thoth,P,0,1,2,True,0,1,732,False,False,False,False,False
Thoth,P,0,1,0,False,2,0,743,False,False,False,False,True
Thoth,P,0,1,0,False,0,3,708,False,True,False,False,True
Thoth,B,0,1,0,False,0,3,751,True,True,False,False,True
Thoth,B,0,1,0,True,0,0,752,False,False,False,False,False
Thoth,B,0,1,0,False,0,0,768,False,False,False,False,False
Thoth,B,0,1,0,False,0,3,735,False,True,False,False,True
Thoth,B,0,1,3,False,1,1,656,False,False,False,False,False
Thoth,B,0,1,0,False,0,0,776,False,False,False,False,True
Thoth,B,0,1,0,True,0,2,770,False,False,False,False,True
Thoth,B,0,1,0,True,0,0,742,False,False,False,False,False
Thoth,B,0,1,0,False,0,5,724,False,True,False,False,True
Thoth,B,0,1,0,False,0,2,753,False,False,False,False,True
Thoth,P,5,1,0,True,0,2,745,False,True,False,False,True
Thoth,P,5,1,1,False,0,1,698,False,False,False,False,False
Thoth,P,5,1,0,False,0,0,796,False,False,False,False,True
Thoth,P,5,1,0,True,0,2,752,False,True,False,False,True
Thoth,P,5,1,0,True,0,1,761,False,False,True,False,False
Thoth,P,5,1,0,False,0,4,806,False,True,False,False,False
Thoth,P,5,1,0,False,0,6,748,False,True,False,False,True
Thoth,P,5,1,1,False,0,3,735,False,False,False,False,False
Thoth,P,5,1,0,False,0,0,707,False,False,False,False,False
Thoth,P,5,1,0,False,0,3,761,False,True,False,False,True
Thoth,S,5,1,0,False,0,2,797,False,False,True,False,True
Thoth,S,5,1,2,False,0,1,690,False,False,False,False,False
Thoth,S,5,1,0,False,2,0,756,False,False,False,False,True
Thoth,S,5,1,0,False,0,2,791,False,False,False,False,True
Thoth,S,5,1,2,True,0,1,744,False,False,False,False,False
Thoth,S,5,1,0,True,0,0,695,False,True,False,False,True
Thoth,S,5,1,0,True,0,2,763,False,True,False,False,True
Thoth,S,5,1,0,True,0,2,767,False,False,False,False,False
Thoth,S,5,1,0,False,0,0,723,False,False,False,False,True
Thoth,S,5,1,0,False,0,2,771,False,True,False,False,True
Thoth,N,5,1,0,False,0,3,768,False,True,False,False,True
Thoth,N,5,1,2,True,0,1,689,False,False,False,False,False
Thoth,N,5,1,0,False,0,0,702,False,False,False,False,True
Thoth,N,5,1,0,False,0,2,824,False,False,True,False,True
Thoth,N,5,1,3,False,0,1,716,False,False,False,False,False
Thoth,N,5,1,0,False,0,0,780,False,False,False,False,True
Thoth,N,5,1,0,False,0,3,808,True,True,False,False,True
Thoth,N,5,1,0,True,0,1,700,False,False,False,False,False
Thoth,N,5,1,0,False,0,0,691,False,False,False,False,True
Thoth,N,5,1,0,False,0,2,760,False,True,False,False,True
Thoth,N,5,1,0,False,0,2,751,False,True,False,False,True
Thoth,N,5,1,1,True,0,2,732,False,False,False,False,False
Thoth,N,5,1,0,True,0,0,781,False,False,False,False,False
Thoth,N,5,1,0,False,0,3,810,True,True,False,False,True
Thoth,N,5,1,0,True,0,1,763,False,False,True,False,False
Thoth,N,5,1,0,False,0,0,767,False,True,False,False,False
Thoth,N,5,1,0,False,0,2,808,False,True,True,False,True
Thoth,N,5,1,1,False,0,3,762,False,True,False,False,False
Thoth,N,5,1,0,False,0,0,745,False,False,False,False,True
Thoth,N,5,1,0,False,0,2,842,False,False,True,False,True
Thoth,S,0,1,0,False,0,2,828,False,False,True,False,True
Thoth,S,0,1,1,True,0,0,755,False,False,False,False,False
Thoth,S,0,1,0,True,0,0,749,False,True,False,False,False
Thoth,S,0,1,0,False,0,3,746,True,True,False,False,True
Thoth,S,0,1,0,False,0,4,740,False,False,True,False,False
Thoth,S,0,1,0,False,0,0,767,False,False,False,False,True
Thoth,S,0,1,0,False,0,2,755,False,True,False,False,True
Thoth,S,0,1,1,True,0,0,721,False,False,True,False,False
Thoth,S,0,1,0,True,0,0,793,False,False,False,False,False
Thoth,S,0,1,0,False,0,3,795,False,False,False,False,True
Thoth,S,5,1,0,False,0,3,768,True,True,False,False,True
Thoth,S,5,1,2,False,0,1,701,False,False,False,False,False
Thoth,S,5,1,0,False,0,0,701,False,False,False,False,True
Thoth,S,5,1,0,False,0,3,790,True,True,False,False,True
Thoth,S,5,1,0,True,0,0,760,False,False,False,False,False
Thoth,S,5,1,0,False,0,0,767,False,False,False,False,True
Thoth,S,5,1,0,False,0,2,789,False,True,False,False,True
Thoth,S,5,1,0,True,0,0,770,False,False,False,False,False
Thoth,S,5,1,0,False,0,0,712,False,False,False,False,True
Thoth,S,5,1,0,True,0,2,735,False,True,False,False,True
Thoth,I,5,1,0,False,0,2,790,False,False,False,False,True
Thoth,I,5,1,0,False,0,3,733,False,False,False,False,False
Thoth,I,5,1,0,False,0,4,759,False,True,False,False,True
Thoth,I,5,1,0,False,0,2,772,False,False,False,False,True
Thoth,I,5,1,0,False,0,0,748,False,False,False,False,False
Thoth,I,5,1,0,False,0,0,686,False,False,False,False,False
Thoth,I,5,1,0,False,0,2,792,False,True,False,False,True
Thoth,I,5,1,1,True,1,0,714,False,False,False,False,False
Thoth,I,5,1,0,True,0,0,759,False,False,False,False,False
Thoth,I,5,1,0,True,0,2,741,False,True,False,False,True
Thoth,I,0,1,0,False,0,3,776,False,True,False,False,True
Thoth,I,0,1,2,True,0,1,691,False,False,False,False,False
Thoth,I,0,1,0,False,1,0,736,False,False,False,False,False
Thoth,I,0,1,0,True,0,2,790,False,False,False,False,True
Thoth,I,0,1,0,True,0,1,733,False,False,False,True,False
Thoth,I,0,1,0,False,0,0,634,False,False,False,False,False
Thoth,I,0,1,0,True,0,2,795,False,False,False,False,True
Thoth,I,0,1,0,True,0,2,747,False,False,False,False,False
Thoth,I,0,1,0,False,0,0,737,False,False,False,False,False
Thoth,I,0,1,0,False,0,3,755,True,True,False,False,True
Thoth,N,0,1,0,False,0,3,778,False,True,False,False,True
Thoth,N,0,1,1,False,1,1,715,False,False,False,False,False
Thoth,N,0,1,0,False,0,0,785,False,True,False,False,False
Thoth,N,0,1,0,True,0,2,762,False,True,False,False,True
Thoth,N,0,1,0,True,0,0,777,False,False,False,False,False
Thoth,N,0,1,0,False,0,0,792,False,True,False,False,True
Thoth,N,0,1,0,True,0,1,792,False,True,False,False,True
Thoth,N,0,1,0,True,0,0,781,False,False,True,True,False
Thoth,N,0,1,0,False,0,0,773,False,False,False,False,True
Thoth,N,0,1,0,False,0,2,718,False,True,False,False,True
Thoth,B,0,1,0,False,0,0,779,False,True,False,False,True
Thoth,B,0,1,0,False,0,4,703,False,False,False,False,False
Thoth,B,0,1,0,False,0,0,762,False,False,False,False,False
Thoth,B,0,1,0,True,0,3,762,False,True,False,False,True
Thoth,B,0,1,0,True,0,0,750,False,False,False,False,False
Thoth,B,0,1,0,False,0,0,735,False,False,False,False,False
Thoth,B,0,1,0,True,0,2,819,False,True,False,False,True
Thoth,B,0,1,1,False,0,0,727,False,False,True,False,False
Thoth,B,0,1,0,False,0,0,717,False,False,False,False,True
Thoth,B,0,1,0,False,0,2,793,False,True,True,False,True
Thoth,B,5,1,0,False,0,3,795,False,True,False,False,True
Thoth,B,5,1,2,True,0,1,706,False,False,False,False,False
Thoth,B,5,1,0,True,0,0,780,False,False,False,False,False
Thoth,B,5,1,0,False,0,3,776,False,True,False,False,True
Thoth,B,5,1,0,True,0,1,752,False,False,False,False,False
Thoth,B,5,1,0,False,0,0,667,False,False,False,False,False
Thoth,B,5,1,0,False,0,3,800,True,True,False,False,True
Thoth,B,5,1,1,True,0,0,770,False,False,False,False,False
Thoth,B,5,1,0,False,0,0,686,False,True,False,False,False
Thoth,B,5,1,0,False,0,3,739,False,True,False,False,True
Thoth,P,5,1,0,True,0,3,757,False,True,False,False,True
Thoth,P,5,1,1,True,0,1,676,False,False,False,False,False
Thoth,P,5,1,0,False,0,0,685,False,False,False,False,False
Thoth,P,5,1,0,False,0,2,759,False,True,False,False,True
Thoth,P,5,1,0,True,0,1,768,False,False,False,False,False
Thoth,P,5,1,0,True,0,0,658,False,False,False,False,True
Thoth,P,5,1,0,False,0,3,793,False,True,False,False,True
Thoth,P,5,1,2,False,2,3,709,False,False,False,False,False
Thoth,P,5,1,0,True,3,0,708,False,True,False,False,False
Thoth,P,5,1,0,False,0,3,771,False,True,True,False,True
Thoth,P,0,1,0,False,0,3,828,False,True,False,False,True
Thoth,P,0,1,0,True,0,0,798,False,False,False,False,False
Thoth,P,0,1,0,False,0,0,660,False,False,False,False,False
Thoth,P,0,1,0,True,0,2,748,False,True,False,False,True
Thoth,P,0,1,0,False,0,4,726,False,False,False,False,False
