agent_id,condition,session_number,run_number,opp_score,response_length
Thoth,N,1,0,1.4000000000000001,768
Thoth,N,1,0,2.3000000000000003,789
Thoth,N,1,0,1.3,742
Thoth,N,1,0,1.7000000000000002,763
Thoth,N,1,0,2.1,741
Thoth,I,2,0,1.2,761
Thoth,I,2,0,3.0999999999999996,746
Thoth,I,2,0,1.3000000000000003,746
Thoth,I,2,0,1.8000000000000003,767
Thoth,I,2,0,1.5,744
Thoth,B,3,0,1.6000000000000003,821
Thoth,B,3,0,0.9000000000000001,783
Thoth,B,3,0,0.5,790
Thoth,B,3,0,0.8,762
Thoth,B,3,0,2.3000000000000003,781
Thoth,P,4,0,1.1,795
Thoth,P,4,0,2.9000000000000004,669
Thoth,P,4,0,1.0,854
Thoth,P,4,0,1.3,773
Thoth,P,4,0,1.9000000000000001,764
Thoth,S,5,0,1.3,809
Thoth,S,5,0,1.8000000000000003,748
Thoth,S,5,0,0.7000000000000001,776
Thoth,S,5,0,1.2,813
Thoth,S,5,0,1.5,743
Anubis,N,1,0,2.6,768
Anubis,N,1,0,2.5,735
Anubis,N,1,0,1.8000000000000003,793
Anubis,N,1,0,1.4000000000000001,735
Anubis,N,1,0,2.1,675
Anubis,I,2,0,0.6000000000000001,774
Anubis,I,2,0,3.2,766
Anubis,I,2,0,0.4,766
Anubis,I,2,0,1.7000000000000002,753
Anubis,I,2,0,1.2999999999999998,754
Anubis,B,3,0,1.4,750
Anubis,B,3,0,1.8,700
Anubis,B,3,0,1.6,786
Anubis,B,3,0,1.6,722
Anubis,B,3,0,1.9000000000000004,743
Anubis,P,4,0,1.0,764
Anubis,P,4,0,1.7999999999999998,765
Anubis,P,4,0,1.4000000000000001,782
Anubis,P,4,0,1.1,786
Anubis,P,4,0,1.5000000000000002,779
Anubis,S,5,0,2.7000000000000006,852
Anubis,S,5,0,3.8,777
Anubis,S,5,0,0.8,777
Anubis,S,5,0,1.9000000000000001,828
Anubis,S,5,0,2.8000000000000003,743
Maat,N,1,0,1.4,760
Maat,N,1,0,1.6,738
Maat,N,1,0,1.0,772
Maat,N,1,0,1.1,802
Maat,N,1,0,2.5,754
Maat,I,2,0,1.2,839
Maat,I,2,0,0.5,745
Maat,I,2,0,1.4000000000000001,751
Maat,I,2,0,1.5,763
Maat,I,2,0,1.7000000000000002,738
Maat,B,3,0,1.3,755
Maat,B,3,0,1.1,739
Maat,B,3,0,0.30000000000000004,735
Maat,B,3,0,0.9000000000000001,820
Maat,B,3,0,1.5,699
Maat,P,4,0,1.5999999999999999,814
Maat,P,4,0,0.7,649
Maat,P,4,0,2.0,759
Maat,P,4,0,2.2,765
Maat,P,4,0,1.0,643
Maat,S,5,0,1.8000000000000003,753
Maat,S,5,0,1.6,725
Maat,S,5,0,0.8,799
Maat,S,5,0,1.0,801
Maat,S,5,0,1.4000000000000001,660
Seshat,N,1,0,1.8,809
Seshat,N,1,0,1.7000000000000002,770
Seshat,N,1,0,0.4,824
Seshat,N,1,0,2.2,771
Seshat,N,1,0,2.6,719
Seshat,I,2,0,1.7000000000000002,798
Seshat,I,2,0,0.4,702
Seshat,I,2,0,0.2,816
Seshat,I,2,0,2.7,789
Seshat,I,2,0,1.8,778
Seshat,B,3,0,2.5000000000000004,829
